dbus.Struct((dbus.String(u'/usr/lib/systemd/system/pppoe-server.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/reboot.target'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/console-getty.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/debug-shell.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/nss-user-lookup.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/plymouth-start.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/iscsid.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/runlevel5.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/swap.target'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/dracut-pre-pivot.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/NetworkManager-dispatcher.service'), dbus.String(u'enabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/alsa-restore.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/blk-availability.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/plymouth-read-write.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/anaconda-tmux@.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/lldpad.service'), dbus.String(u'disabled')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/systemd-tmpfiles-setup-dev.service'), dbus.String(u'static')), signature=None)
dbus.Struct((dbus.String(u'/usr/lib/systemd/system/ModemManager.service'), dbus.String(u'enabled')), signature=None)
